Interactions;Followers;Following;Total likes;Username;Display name;bio;authorMeta/verified;jumlah video;jumlah orang yang menyimpan;jumlah komentar;Waktu mengupload;Jumlah like;efek yang digunakan;hashtag 0;deskripsi hashtag 0;hashtag 1;hashtag 2;hashtag 3;hashtag 4;hashtag 5;hashtag 6;hashtag 7;hashtags/8/name;hashtags/9/name;hashtags/10/name;hashtags/11/name;hashtags/12/name;hashtags/13/name;hashtags/14/name;hashtags/15/name;hashtags/16/name;hashtags/17/name;hashtags/18/name;Apakah menggunakan ad?;mentions/0;mentions/1;Artis musik;music;musicMeta/musicOriginal;views;share;caption;durasi video;videoMeta/height;webVideoUrl
74000;166300;168;7700000;gabriellamileniaa;Gabriella Milenia;"hello!🧸
follow me for more fashion & beauty inspo💓✨

shop my outfits here👇🏻";FALSE;1354;273;0;04/02/2024 14.36;929;;;;gayaditiktok;fashiontok;cardiganmurah;cardiganrajut;;;;;;;;;;;;;;;FALSE;@Cia’s;@Reveka;@_zemosaudios_;foolish one sped up;TRUE;33700;29;Replying to @Cia’s Ootd mana yg paling lucu?👀💓 #gayaditiktok #fashiontok #cardiganmurah #cardiganrajut @Reveka ;12;1024;https://www.tiktok.com/@gabriellamileniaa/video/7331647306313239814
2212;1046;1298;5284;semi_epic;semi;"Inspirasi outfit
Tinggi bdn 163 cm
BB 60 kg
Contoh pemakaian
0895412669100";FALSE;339;112;0;15/07/2023 15.37;284;Kasat Mata II;cardiganoutfit;;cardiganknit;cardiganpanjang;cardiganmurah;outer;outerpanjang;ootdhijab;ootdcardigan;cardiganootd;;;;;;;;;;;FALSE;;;lisu edits;original sound;TRUE;100200;42;Rekomendasi cardigan knit#cardiganoutfit#cardiganknit#cardiganpanjang#cardiganmurah#outer#outerpanjang#ootdhijab#ootdcardigan#cardiganootd ;16;1024;https://www.tiktok.com/@semi_epic/video/7255961691966491910
2919;476;508;1352;mektoq02;syikinida;"newbie affiliate👶
support saya ya korang😁
tq😘
road to 1k";FALSE;102;296;0;30/12/2023 22.13;437;;cardiganabaya;;cardiganviral;outfitcardigan;cardiganmurah;;;;;;;;;;;;;;;;FALSE;;;syikinida;bunyi asal - syikinida;TRUE;46300;117;#cardiganabaya #cardiganviral #outfitcardigan #cardiganmurah ;19;1024;https://www.tiktok.com/@mektoq02/video/7318406112191991048
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;32;0;12/12/2023 13.14;208;;sale;"Benji &amp; Fede vi invitano a condividere quello che vi fa star bene tutti i giorni e vi fa scacciare l’ansia… con #Sale in sottofondo! 😊";fyp;cardiganrajut;premiumrajut;cardigan;bandung;murahbanget;;;;;;;;;;;;;FALSE;;;EXO;첫 눈 The First Snow - Sped Up;FALSE;13300;6;Emang paling gak tahan kalau liat yang MURAH !! 🌸✨🫶  #sale #fyp #cardiganrajut #premiumrajut #cardigan #bandung #murahbanget ;11;1024;https://www.tiktok.com/@newshoppeland/video/7311587778695908614
13600;1645;240;59100;kaelacaling;km ✿;"beauty | lifestyle | recos
📩 collabwithkm@gmail.com";FALSE;184;1793;62;08/11/2023 14.38;15300;;kmfinds;;recosbykm;cardigan;cardiganoutfit;knittedcardigan;knittedsweaters;knittedtops;ootd;ootdcardigan;tiktokfinds;budolfinds;;;;;;;;;FALSE;;;(Taylor’s version);Dress;TRUE;333800;193;today’s fit 🌷 a high quality cardigan for a cheap price ✨ #kmfinds #recosbykm #cardigan #cardiganoutfit #knittedcardigan #knittedsweaters #knittedtops #ootd #ootdcardigan #tiktokfinds #budolfinds;11;1024;https://www.tiktok.com/@kaelacaling/video/7298992522020375813
4929;992600;437;29400000;sweastyle;SweaStyle;"Fashion & beauty hacks 💗
For more
👇";FALSE;423;150200;0;14/11/2023 02.51;466000;;;;fashionhack;cardiganhack;sweatherhack;;;;;;;;;;;;;;;;FALSE;@FashionNova;;"Daisuke""D.I""Imai";Western music, trap soul, R&B beat ♫(866926);FALSE;10200000;3725;3 cardigan fashion hack @FashionNova  #fashionhack #cardiganhack #sweatherhack ;70;1024;https://www.tiktok.com/@sweastyle/video/7301036775751945478
399;58500;12;595100;miscathelabel_;miscathelabel;"🛒 Shopee: miscathelabel 
IG: miscathelabel_
📔 : miscadiary_
📍Bandung, Idn";FALSE;510;211;0;26/02/2024 16.49;569;;ramadanekstraseru;"🌟 Bagikan Cerita Cobaan Ramadanmu. Dan menangkan survival kit eksklusif!🌟
Bagikan cerita cobaan Ramadanmu dan dapatkan kesempatan untuk memenangkan survival kit Ramadan spesial dari TikTok dan Tokopedia dengan produk-produk viral di dalamnya yang dapat membantumu mengatasi cobaan!

🌟 Cara Berpartisipasi:
- Gunakan hashtag #RamadanEkstraSeru.
- Unggah video kreatifmu tentang berbagi cerita cobaan Ramadan.
- Tag 3 temanmu di caption.

🌟 Persyaratan:
- Pastikan akunmu terbuka untuk publik.
- Pastikan akunmu bukan akun palsu atau akun yang digunakan untuk giveaway.

🌟 Periode Kampanye:
20 Februari - 5 April

🌟 Hadiah untuk Video Paling Viral:
10 survival kit Ramadan akan diberikan kepada 10 Video Paling Viral🚀

Seluruh hak interpretasi milik TikTok dan Tokopedia";ootdindo;cardiganoutfit;cardiganmurah;cardiganpolos;cardigancrop;;;;;;;;;;;;;;TRUE;;;SINAX SCHEFFEL;Gossip Girl;FALSE;93000;39;Pilih Maroon / White? 🤭 2 warna best seller di bulan ini nih ! #ramadanekstraseru #ootdindo #cardiganoutfit #cardiganmurah #cardiganpolos #cardigancrop ;6;1024;https://www.tiktok.com/@miscathelabel_/video/7339845455259405573
53;10800;8;90400;althaf.nisa;Althafunnisa;Jangan lupa follow ya;FALSE;582;113;0;26/07/2023 06.21;926;;cardigankoreanstyle;;cardiganoutfit;cardigankorean;cardiganlemonskin;;;;;;;;;;;;;;;;FALSE;;;Althafunnisa;suara asli - Galeri Sakinah;TRUE;82600;320;Cardigan ini banyak yang naksir secara modelnya cakep harganya murah banget gitu lho kak.. wajib order #cardigankoreanstyle #cardiganoutfit #cardigankorean #cardiganlemonskin ;121;1024;https://www.tiktok.com/@althaf.nisa/video/7259900298062236933
23500;36400;1323;239700;joystudawerld;joyce;"oh, hi! glad ur here ᡣ𐭩
joycenilo0597@gmail.com";FALSE;632;5528;0;02/10/2023 18.31;23000;;fyp;;knittedcardigan;sweatercardigan;cardigan;fashion;style;ootdideas;tiktokfinds;tiktokshop;foryou;foryoupage;tiktokph;fyppppppppppppppppppppppp;;;;;;;FALSE;;;Tazzy;If It's Lovin That You Want - Cover;FALSE;1300000;1000;high quality knitted sweater cardigan — available in 4 colors ✨ get yours now, ladies! #fyp #knittedcardigan #sweatercardigan #cardigan #fashion #style #ootdideas #tiktokfinds #tiktokshop #foryou #foryoupage #tiktokph #fyppppppppppppppppppppppp ;15;1024;https://www.tiktok.com/@joystudawerld/video/7285322337996524806
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;357;0;31/07/2023 11.55;1008;;ttshoplocal;"Temukan tren Fashion Lokal terkini di sini!

Cek rekomendasi pakaian sampai aksesoris pelengkap style-mu dari beragam toko favorit di TikTok Shop! Nikmati promo spesial: Diskon s/d 80%, Voucher Belanja, hingga Gratis Ongkir pada 6-8 Februari 2023. 

Kamu juga bisa berpartisipasi dengan upload video menggunakan brand Fashion Lokal dengan hashtag #TTSHOPLOCAL. Jangan lewatkan hype-nya!";cardiganrajut;fyp;koreanstylefashion;racunintiktok;cardiganmurah;sweatermurah;ootdsimple;;;;;;;;;;;;FALSE;;;Sanjaya;suara asli - Sanjaya;TRUE;142100;71;Yuk buruan langsung cek keranjang kuning skrng juga bestie🥰#TTshoplocal #cardiganrajut #fyp #koreanstylefashion #racunintiktok #cardiganmurah #sweatermurah #ootdsimple ;10;1024;https://www.tiktok.com/@newshoppeland/video/7261841886552411398
